song,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Rise,Lost Frequencies,0.689,0.612,6,-6.014,1,0.0387,0.228,7.77e-06,0.368,0.461,122.076,audio_features,7HXBG0W8gFJwHUh5mVF9tf,spotify:track:7HXBG0W8gFJwHUh5mVF9tf,https://api.spotify.com/v1/tracks/7HXBG0W8gFJwHUh5mVF9tf,https://api.spotify.com/v1/audio-analysis/7HXBG0W8gFJwHUh5mVF9tf,193018,4
Cover Me In Sunshine,P!nk,0.476,0.594,5,-6.879,1,0.135,0.0599,0.0,0.0785,0.314,159.702,audio_features,6Tio0ZoDeSQnI7EBAqWer2,spotify:track:6Tio0ZoDeSQnI7EBAqWer2,https://api.spotify.com/v1/tracks/6Tio0ZoDeSQnI7EBAqWer2,https://api.spotify.com/v1/audio-analysis/6Tio0ZoDeSQnI7EBAqWer2,141050,4
River,Tom Gregory,0.701,0.621,10,-4.972,1,0.0556,0.0237,0.0,0.232,0.494,110.03,audio_features,5nD2zmNcN7jZ1lrdj4ZVxX,spotify:track:5nD2zmNcN7jZ1lrdj4ZVxX,https://api.spotify.com/v1/tracks/5nD2zmNcN7jZ1lrdj4ZVxX,https://api.spotify.com/v1/audio-analysis/5nD2zmNcN7jZ1lrdj4ZVxX,189995,4
My 100,KIDDO,0.624,0.785,2,-4.961,1,0.0735,0.109,9.81e-05,0.0865,0.485,90.784,audio_features,11Q3W4kReoMTUWuc8BQyLC,spotify:track:11Q3W4kReoMTUWuc8BQyLC,https://api.spotify.com/v1/tracks/11Q3W4kReoMTUWuc8BQyLC,https://api.spotify.com/v1/audio-analysis/11Q3W4kReoMTUWuc8BQyLC,173641,4
Too Late (feat. Wiz Khalifa & Lukas Graham),Cash Cash,0.552,0.74,2,-2.335,1,0.124,0.074,0.0,0.113,0.601,97.049,audio_features,6Q0cy1jCa8EpvT6hd9rrs9,spotify:track:6Q0cy1jCa8EpvT6hd9rrs9,https://api.spotify.com/v1/tracks/6Q0cy1jCa8EpvT6hd9rrs9,https://api.spotify.com/v1/audio-analysis/6Q0cy1jCa8EpvT6hd9rrs9,193918,4
Love To Lose,Sandro Cavazza,0.601,0.741,0,-5.981,1,0.127,0.0467,0.0,0.244,0.71,195.943,audio_features,11lFSEnkj3810ojPLj53RO,spotify:track:11lFSEnkj3810ojPLj53RO,https://api.spotify.com/v1/tracks/11lFSEnkj3810ojPLj53RO,https://api.spotify.com/v1/audio-analysis/11lFSEnkj3810ojPLj53RO,177731,4
Gone Are The Days (feat. James Gillespie),Kygo,0.528,0.453,4,-9.398,1,0.0396,0.355,1.06e-06,0.104,0.281,119.761,audio_features,1MGGLyAMVQo3T9gSEBJjyH,spotify:track:1MGGLyAMVQo3T9gSEBJjyH,https://api.spotify.com/v1/tracks/1MGGLyAMVQo3T9gSEBJjyH,https://api.spotify.com/v1/audio-analysis/1MGGLyAMVQo3T9gSEBJjyH,196678,4
Follow You,Imagine Dragons,0.542,0.732,9,-5.956,1,0.0521,0.00209,7.92e-05,0.496,0.489,124.912,audio_features,7FdUvDkaE24o3FPIWTvzv2,spotify:track:7FdUvDkaE24o3FPIWTvzv2,https://api.spotify.com/v1/tracks/7FdUvDkaE24o3FPIWTvzv2,https://api.spotify.com/v1/audio-analysis/7FdUvDkaE24o3FPIWTvzv2,175644,4
Fallin’ (Adrenaline),Why Don't We,0.606,0.9,0,-4.504,1,0.119,0.0101,0.0,0.075,0.233,133.963,audio_features,5GhJIMWAw0uMLgkdbt6uMz,spotify:track:5GhJIMWAw0uMLgkdbt6uMz,https://api.spotify.com/v1/tracks/5GhJIMWAw0uMLgkdbt6uMz,https://api.spotify.com/v1/audio-analysis/5GhJIMWAw0uMLgkdbt6uMz,216504,4
Be Kind,Zak Abel,0.929,0.67,8,-3.977,1,0.0488,0.068,0.0,0.318,0.938,120.935,audio_features,5pE4OLVJh5rjaLERbUgBB2,spotify:track:5pE4OLVJh5rjaLERbUgBB2,https://api.spotify.com/v1/tracks/5pE4OLVJh5rjaLERbUgBB2,https://api.spotify.com/v1/audio-analysis/5pE4OLVJh5rjaLERbUgBB2,181516,4
